size dfstime clsspines
18 31.94793681495809 yes7
18 31.29569266589057 no7
19 20.7 yes2
19 20.071428571428573 no2
19 23.214285714285715 yes3
19 22.875 no3
19 25.901678657074342 yes4
19 25.334975369458128 no4
19 28.471473354231975 yes5
19 27.932038834951456 no5
19 30.910941475826974 yes6
19 30.434146341463414 no6
19 33.29444503906668 yes7
19 32.72244094488189 no7
20 20.3 yes2
20 19.8125 no2
20 22.863636363636363 yes3
20 22.822222222222223 no3
20 25.746268656716417 yes4
20 25.470119521912352 no4
20 28.557633973710818 yes5
20 28.33646112600536 no5
20 31.534613441131885 yes6
20 31.22340425531915 no6
20 34.46402403282532 yes7
20 34.307369224895 no7
21 21.285714285714285 yes2
21 20.764705882352942 no2
21 23.957142857142856 yes3
21 23.956521739130434 no3
21 26.813905930470348 yes4
21 26.547619047619047 no4
21 29.628031237155774 yes5
21 29.381944444444443 no5
21 32.626541248252195 yes6
21 32.35579293344289 no6
21 35.61427405366799 yes7
21 35.47881160755412 no7
22 22.375 yes2
22 21.8 no2
22 25.176470588235293 yes3
22 24.814814814814813 no3
22 27.945525291828794 yes4
22 27.690322580645162 no4
22 30.72458217270195 yes5
22 30.48918083462133 no5
22 33.7641115321092 yes6
22 33.50457142857143 no6
22 36.785880810141336 yes7
22 36.65620933930895 no7
23 23.25 yes2
23 23.3 no2
23 26.15625 yes3
23 25.921875 no3
23 29.023809523809526 yes4
23 28.852054794520548 no4
23 31.850595783684692 yes5
23 31.578979343863914 no5
23 34.9028324457822 yes6
23 34.609577922077925 no6
23 37.963045437675625 yes7
23 37.796816479400746 no7
24 26.0 yes2
24 26.0 no2
24 29.210526315789473 yes3
24 28.91304347826087 no3
24 32.63424124513619 yes4
24 32.00735294117647 no4
24 35.52067510548523 yes5
24 34.862001943634596 no5
24 38.47787279196055 yes6
24 38.023321449792036 no6
24 41.51237113402062 yes7
24 41.23748987349661 no7
25 27.0 no2
25 30.305084745762713 yes3
25 30.03076923076923 no3
25 33.79383429672447 yes4
25 33.23294117647059 no4
25 36.72908471020194 yes5
25 36.090871369294604 no5
25 39.686961516369905 yes6
25 39.205720695457096 no6
25 42.714335421016 yes7
25 42.41478589204497 no7
26 31.509090909090908 yes3
26 30.940298507462686 no3
26 34.93846153846154 yes4
26 34.44906444906445 no4
26 38.03286624203822 yes5
26 37.3460729312763 no5
26 40.951936034498246 yes6
26 40.38441535927884 no6
26 43.987039547216476 yes7
26 43.59693615994693 no7
27 32.73809523809524 yes3
27 31.960526315789473 no3
27 36.09292929292929 yes4
27 35.51346499102334 no4
27 39.34401390958768 yes5
27 38.55538922155689 no5
27 42.247222888196276 yes6
27 41.592233009708735 no6
27 45.2585683462853 yes7
27 44.782532789210656 no7
28 33.80952380952381 yes3
28 33.21739130434783 no3
28 37.23221757322176 yes4
28 36.61864406779661 no4
28 40.626550868486355 yes5
28 39.78351881293058 no5
28 43.53571946094769 yes6
28 42.811200443581924 no6
28 46.53935662661985 yes7
28 45.991471422780705 no7
29 35.0 yes3
29 34.282051282051285 no3
29 38.369369369369366 yes4
29 37.70352564102564 no4
29 41.85092707045735 yes5
29 41.07388441843453 no5
29 44.834644868055086 yes6
29 44.042536771381876 no6
29 47.831565498609244 yes7
29 47.20959269783863 no7
30 41.93333333333333 no3
30 45.90931372549019 yes4
30 45.25920245398773 no4
30 48.83349925335988 yes5
30 48.190519187358916 no5
30 51.0356233276379 yes6
30 50.537236892460776 no6
30 52.87737335834897 yes7
30 52.87305867332355 no7
31 47.226470588235294 yes4
31 46.28995057660626 no4
31 50.25557504384866 yes5
31 49.58374018255147 no5
31 52.54924812030075 yes6
31 51.96672018195197 no6
31 54.38919413451365 yes7
31 54.34187199576095 no7
32 36.85123966942149 yes4
32 36.42602495543672 no4
32 39.558438155136265 yes5
32 39.135892514395394 no5
32 42.37278600352385 yes6
32 41.969974781189734 no6
32 45.22133981907383 yes7
32 44.877485107739076 no7
33 37.6640625 yes4
33 37.47161572052402 no4
33 40.58983820607437 yes5
33 40.12354312354312 no5
33 43.45209682918514 yes6
33 43.018244536071364 no6
33 46.324460678985815 yes7
33 45.92035115479415 no7
34 38.333333333333336 yes4
34 38.56147540983606 no4
34 41.664968152866244 yes5
34 41.08596554199569 no5
34 44.555050158888406 yes6
34 44.08331229487503 no6
34 47.47108596197483 yes7
34 46.99271608237292 no7
35 39.11267605633803 no4
35 42.74769797421731 yes5
35 42.108097857007394 no5
35 45.65005727376862 yes6
35 45.131796226235515 no6
35 48.645021218968736 yes7
35 48.075470490816016 no7
36 43.77266387726639 yes5
36 43.21530698065602 no5
36 46.7619331347236 yes6
36 46.1762592336361 no6
36 49.81204827677029 yes7
36 49.17110778644886 no7
37 44.75017301038062 yes5
37 44.29044647143543 no5
37 47.88314518433838 yes6
37 47.17951262775572 no6
37 50.99488113326451 yes7
37 50.25486633633083 no7
38 46.685344827586206 yes5
38 45.646649810366625 no5
38 49.96783088235294 yes6
38 48.853087992648135 no6
38 53.299108649085504 yes7
38 52.33947388520978 no7
39 47.76847290640394 yes5
39 46.70042971147944 no5
39 50.997297800969065 yes6
39 49.71315204968408 no6
39 54.305255147645006 yes7
39 53.23534907060419 no7
40 48.136563876651984 no5
40 52.10011299435028 yes6
40 50.644604687097605 no6
40 55.402337488588124 yes7
40 54.17680826049175 no7
41 53.132617306520416 yes6
41 51.57874396135266 no6
41 56.45613616730257 yes7
41 55.0868255637687 no7
42 55.02463173146583 yes6
42 53.6855091383812 no6
42 58.38582162202641 yes7
