size bfstime clsspines
22 31.41643059490085 no5
22 34.509221816747214 yes6
22 34.37575259989053 no6
22 37.54585376564444 yes7
22 37.49268777509584 no7
23 24.0 yes2
23 23.416666666666668 no2
23 26.878048780487806 yes3
23 26.448275862068964 no3
23 29.73860911270983 yes4
23 29.628318584070797 no4
23 32.66396103896104 yes5
23 32.55464926590538 no5
23 35.666666666666664 yes6
23 35.535672965676824 no6
23 38.738519488152164 yes7
23 38.70143130640897 no7
24 27.0 yes2
24 26.5 no2
24 30.65625 yes3
24 29.96808510638298 no3
24 33.576441102756895 yes4
24 33.19694072657744 no4
24 36.453794369645045 yes5
24 36.139019189765456 no5
24 39.452183420155635 yes6
24 39.19044975013881 no6
24 42.491727332892125 yes7
24 42.29505534167469 no7
25 27.666666666666668 no2
25 31.76923076923077 yes3
25 30.948979591836736 no3
25 34.726027397260275 yes4
25 34.33506044905008 no4
25 37.62170955338657 yes5
25 37.365235749472205 no5
25 40.57943416757345 yes6
25 40.437228990295274 no6
25 43.63387734383412 yes7
25 43.54518998237488 no7
26 33.15 yes3
26 32.068627450980394 no3
26 35.96531791907515 yes4
26 35.52977099236641 no4
26 38.93608124253286 yes5
26 38.63487897346165 no5
26 41.859229305423405 yes6
26 41.67814382972063 no6
26 44.89223063737707 yes7
26 44.79262370014855 no7
27 34.214285714285715 yes3
27 33.24038461538461 no3
27 37.29545454545455 yes4
27 36.62903225806452 no4
27 40.27949739503524 yes5
27 39.88934925664148 no5
27 43.15470329100803 yes6
27 42.95860104255061 no6
27 46.1741528219572 yes7
27 46.06086566311753 no7
28 35.625 yes3
28 34.31707317073171 no3
28 38.518382352941174 yes4
28 37.74246231155779 no4
28 41.62621990891347 yes5
28 41.146511627906975 no5
28 44.465002013693116 yes6
28 44.22874717670239 no6
28 47.46272307869116 yes7
28 47.33737570093458 no7
29 37.0 yes3
29 35.404761904761905 no3
29 39.91818181818182 yes4
29 38.875 no4
29 42.96842470506593 yes5
29 42.3858282674772 no5
29 45.783260049029145 yes6
29 45.4938204641432 no6
29 48.757035264306325 yes7
29 48.61728064000715 no7
30 42.93333333333333 no3
30 46.779661016949156 yes4
30 45.629671574178936 no4
30 49.699095022624434 yes5
30 49.09644582470669 no5
30 51.97058029689609 yes6
30 51.668257833023645 no6
30 53.896917214240865 yes7
30 53.81250958932133 no7
31 48.097744360902254 yes4
31 46.764127764127764 no4
31 51.066856909906235 yes5
31 50.29332693230917 no5
31 53.3829184853132 yes6
31 53.073762607524664 no6
31 55.31811624420977 yes7
31 55.319432616563766 no7
32 37.943820224719104 yes4
32 37.05882352941177 no4
32 40.34341554211261 yes5
32 39.99214773883961 no5
32 43.24609888304862 yes6
32 43.049539612507196 no6
32 46.104459254898664 yes7
32 46.07094280723921 no7
33 38.907407407407405 yes4
33 37.86278195488722 no4
33 41.24754634678299 yes5
33 40.762868153041566 no5
33 44.13095498970066 yes6
33 43.94344080940004 no6
33 47.027048524236946 yes7
33 47.048517741691356 no7
34 39.65 yes4
34 38.79323308270677 no4
34 42.36737491432488 yes5
34 41.72535502550669 no5
34 45.224032875159416 yes6
34 44.96818172823872 no6
34 48.15984510806241 yes7
34 48.13456950376725 no7
35 39.59154929577465 no4
35 43.45996441281139 yes5
35 42.70643939393939 no5
35 46.314739583333335 yes6
35 45.97591005437287 no6
35 49.3245683557892 yes7
35 49.22116537222486 no7
36 44.48379052369077 yes5
36 43.695331695331696 no5
36 47.414139653770185 yes6
36 46.976870512931406 no6
36 50.49983369884941 yes7
36 50.30852789301792 no7
37 45.523346303501945 yes5
37 44.66960957425937 no5
37 48.541890696249915 yes6
37 47.960333031077404 no6
37 51.689158311447336 yes7
37 51.38485721641318 no7
38 48.85608856088561 yes5
38 46.90749512398997 no5
38 51.97116417417169 yes6
38 50.45340460526316 no6
38 55.04999672172187 yes7
38 54.019722209613725 no7
39 49.67058823529412 yes5
39 47.64109902690326 no5
39 53.064685689766144 yes6
39 51.26244552678801 no6
39 56.07702079731783 yes7
39 54.84552397800581 no7
40 48.209251101321584 no5
40 54.244367417677644 yes6
40 52.17545663594384 no6
40 57.25529077136204 yes7
40 55.781807344452936 no7
41 55.323952738990336 yes6
41 53.11995714254477 no6
41 58.3675711853063 yes7
41 56.704167411209575 no7
42 56.728776978417265 yes6
42 55.05389851142715 no6
42 60.075208316314026 yes7
42 58.72166854452459 no7
43 57.78958630527817 yes6
43 55.843559562567826 no6
43 61.21695856307649 yes7
43 59.65427105859489 no7
44 56.442622950819676 yes6
44 53.82398259766156 no6
44 58.71966770366825 yes7
44 56.76129095865983 no7
45 54.308029197080295 no6
45 59.85904108603363 yes7
45 57.65338819138933 no7
46 60.98566985114419 yes7
46 58.63927294769966 no7
47 62.12370264660093 yes7
47 59.60323365854624 no7
48 63.41049171346391 yes7
48 62.79917790655286 no7
49 64.48649928943628 yes7
49 63.538526357884514 no7
50 63.75864353692326 no7
